Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       22.05.25
Time:       21:12
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

Designator Comment                                                              Layer       Footprint                             Center-X(mm) Center-Y(mm) Rotation Description                                                                                             "Manufacturer 1"                           "Manufacturer 1 Prt. Nr." "Manufacturer 2"            "Manufacturer 2 Prt. Nr." 
Y7         ECS-TXO-20CSMV4-520-AN-TR                                            TopLayer    ECS-TXO-20CSMV4_2X1.6X0.8             145.7250     127.9250     270      "Clock-Standardoszillatoren 52.000MHz 1.7V 3.6V 0.5ppm -40C +85C"                                       ECS                                        ECS-TXO-20CSMV4-520-AN-TR ""                          ""                        
R148       "0R Jumper"                                                          TopLayer    RES_0402_L                            146.3750     125.7750     270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
C219       "100nF 50V"                                                          TopLayer    CAP_0402_L                            145.8999     129.7190     180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
Q6         RUC002N05T116                                                        TopLayer    SOT95P251X112-3N                      98.2500      181.1500     180      "MOSFET N-Ch 1.2 VGS Spec"                                                                              "ROHM Semiconductor"                       RUC002N05T116             ""                          ""                        
S5         "AlpsAlpine SKRHACE010"                                              TopLayer    AlpsAlpine_SKRHACE010                 55.4500      11.0000      315      "Multi-Directional Switches, 4-directions, center-push"                                                 "Alps Alpine"                              SKRHACE010                ""                          ""                        
R123       "0R Jumper"                                                          TopLayer    RES_0402_L                            171.3950     60.4290      270      "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
R145       "0R Jumper"                                                          TopLayer    RES_0402_L                            142.1025     57.7425      0        "Thick Film Resistors - SMD 0Ohm"                                                                       "Vishay / Dale"                            CRCW04020000Z0EDC         Yageo                       RC0402JR-070RL            
C526       "100nF 50V"                                                          TopLayer    CAP_0402_L                            190.5933     189.6306     90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
C525       "100nF 50V"                                                          TopLayer    CAP_0402_L                            190.5933     187.9806     270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 50VDC"                                               "Murata Electronics"                       GCM155L8EH104KE07D        TDK                         UMK105B7104KV-FR          
D83        824014883                                                            TopLayer    WE-TVS-DFN3810-9L                     198.2811     194.7500     0        "ESD Suppressors / TVS Diodes WE-TVS Diode Array 3.3V 0.5pF 8Channel"                                   "Wurth Elektronik"                         824014883                 ""                          ""                        
J28        "Pinheader, 10 Pin, THT, Straight"                                   TopLayer    62701021621                           37.6300      33.5650      180      "Box Pin header THT 1.27mm 10Pol Straight"                                                              "Würth Elektronik"                         62701021621               ""                          ""                        
U17        MT25QU256ABA8ESF-0SIT                                                TopLayer    SOIC16_Widebody                       150.0500     53.3000      0        "NOR-Flash SPI 256Mbit NOR-Flash /1.8V"                                                                 Micron                                     MT25QU256ABA8ESF-0SIT     ""                          ""                        
C282       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    122.1820     221.4500     135      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
F1         0ZRB0400FF1A                                                         TopLayer    0ZRB0400FF                            108.5500     239.2000     225      "Rückstellbare Sicherung 4.0A, 30V"                                                                     "Bel Fuse"                                 0ZRB0400FF1A              ""                          ""                        
C487       "47µF 10V"                                                           TopLayer    CAP_1210                              160.5000     197.4500     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 47 uF 10 VDC 10% 1210 X7R"                                "Murata Electronics"                       GRM32ER71A476KE15L        KEMET                       C1210C106K8RACTU          
C449       "22µF 25V"                                                           BottomLayer CAP_1210                              168.7500     233.9000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1210 25VDC"                                               KEMET                                      C1210C226K3PACTU          "Taiyo Yuden"               TMK212BBJ226MG-TT         
C457       "330µF 25V"                                                          TopLayer    WCAP-PTG5_D10H12.5                    164.9322     241.8678     315      "Organische Polymer-Aluminiumkondensatoren 330uF 25 Volts 20% AEC-Q200"                                 "Würth Elektronik"                         870025575009              ""                          ""                        
R301       "10R 1%"                                                             TopLayer    RES_0402                              131.1500     209.4500     0        "Thick Film Resistors - SMD 10Ohm 1%"                                                                   "Vishay / Dale"                            CRCW040210R0FKEE          Yageo                       RC0402FR-7W10RL           
C427       "1µF 50V"                                                            BottomLayer CAP_0603                              131.8500     203.0000     0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0603 10%"                                     "KYOCERA AVX"                              06035C105KAT2A            "TAIYO YUDEN"               MSASU168AB7105KTNA01      
